run,universe,direction,horizon_h,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_gross,se_gross,t_stat_gross,median_ret_gross,mean_ret_net,se_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,median_ret_net,mean_ret_neutral,t_stat_neutral,ci_lo_neutral,ci_hi_neutral,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_gross,hit_rate_net,mean_ret_net_dayeq,sharpe_daily_ann,max_dd,mean_net_slip5bp,mean_net_slip10bp,mean_net_slip20bp,funding_cov,mean_stop_pct_1atr,mean_funding_paid,reliable,boot_ci_lo_net,boot_ci_hi_net,n_tests_bonferroni,p_value_bonferroni,n_tests_family,p_value_bonferroni_family
R1,exec,long,24,D1,decile,29126,730,652,-0.0030575251205792217,0.0014051749605167776,-2.1759035041833963,-0.006903132044256799,-0.0015993281609729287,0.0014063464551748576,-1.1372220231280612,0.255819644720332,-0.004360306802613975,0.0011616504806681175,-0.00684309934426236,-0.0021004837186660657,-3.5305799525965913,-0.003268484143776794,-0.0009324832935553372,-0.0006300661237605046,-1.0470715863504316,0.43348096268067426,0.4310433618292306,-0.0011178830384810886,-0.5426906144407946,-0.8087434580991218,-0.00109932816097293,-0.0015993281609729304,-0.0025993281609729304,0.9965667593641638,0.11990918139978811,-0.0034616138419402624,True,,,194,1.0,30,1.0
R1,exec,long,24,D10,decile,24651,729,591,0.0017782629989841518,0.001610269679851707,1.1043262015266384,-0.0023677979479084232,-0.0013019869741913836,0.001608140882344271,-0.8096224581352656,0.41842210132583135,-0.0044591413033489135,0.001855167354966146,-0.005467599423821827,0.002542342198590367,2.9194854831675214,0.0008327268422088823,0.004251957554971852,-0.0005232678045038254,-0.6059705827278693,0.4513001500953308,0.4267981014968967,-0.0012188982271784526,-0.49601223455001325,-0.9125224878650724,-0.000801986974191385,-0.0013019869741913855,-0.0023019869741913853,0.9935905237110056,0.15769253955549767,0.0010710259449638626,True,,,194,1.0,30,1.0
R1,exec,long,24,D2,decile,27592,705,676,-0.000808580022827523,0.001513055201097376,-0.5344021964572626,-0.0024699525869328887,-0.0024015443779691003,0.0015168675687139883,-1.5832261348992698,0.11381967203792177,-0.005379677520895949,0.0005765887649577489,-0.004316882120147544,-0.0002760392290301413,-0.7612960103621523,-0.0009879288018553888,0.00043585034379510615,-0.0018534117371279406,-5.028327443781525,0.4683241519280951,0.4482096259785445,-0.0027700415110706728,-1.2799843672578077,-0.9329851705459158,-0.001901544377969101,-0.0024015443779691007,-0.0034015443779691016,0.9977167294868078,0.0922664115511922,-0.0004070566682407643,True,,,194,1.0,30,1.0
R1,exec,long,24,D3,decile,27073,672,658,0.0006487980394588557,0.0016949271193104417,0.3827881636130823,-0.001051524710830809,-0.0012331709608518588,0.0016949745863095273,-0.7275453985046733,0.4671460691048974,-0.004561272178609511,0.0020949302569057936,-0.0030285433451910076,-0.0003041584612206519,-0.7792282912831324,-0.0010705793875081416,0.0004622624650668378,-0.002177468114796491,-5.5621780310463675,0.4822708133264387,0.46103272512373494,-0.002332956712164663,-1.0654367688458566,-0.9217266404214678,-0.00073317096085186,-0.0012331709608518608,-0.0022331709608518603,0.9984117603604935,0.08740371205630079,-0.0001099452683955458,True,,,194,1.0,30,1.0
R1,exec,long,24,D4,decile,27698,638,669,0.0012968011015746992,0.0017353346056815859,0.7472916735071711,-0.0009667690799325945,-0.0006669320786803806,0.0017362206142972245,-0.3841286488528054,0.7010114899213022,-0.004076350163163676,0.0027424860058029156,-0.0030243752263673356,4.6964984605428335e-06,0.012477196511833533,-0.0007344511871794701,0.0007438441841005557,-0.001948683512286738,-5.18540568567281,0.48093725178713265,0.4593472452884685,-0.0008081235829240725,-0.3599707371665865,-0.8182738433967089,-0.00016693207868038204,-0.0006669320786803829,-0.001666932078680382,0.9977254675427829,0.0867108951562205,-8.823673602316663e-06,True,,,194,1.0,30,1.0
R1,exec,long,24,D5,decile,28355,628,634,-0.002592434713205634,0.0019477606998723692,-1.3309821444572263,-0.0035407182599899167,-0.004718400848403962,0.0019520596728158882,-2.4171396572101544,0.015927790665967414,-0.008551779050976184,-0.0008850226458317397,-0.0057122359062296135,-0.0007939033867118327,-2.168984215680982,-0.0015126875515128813,-7.511922191078392e-05,-0.0029094600475284933,-7.910383591424768,0.4549109504496561,0.4327984482454594,-0.0021652618254863576,-0.9663497852275227,-0.9147009471276649,-0.004218400848403963,-0.004718400848403964,-0.005718400848403962,0.9975312995944278,0.087584423518433,9.523344882446331e-05,True,,,194,1.0,30,0.4778337199790224
R1,exec,long,24,D6,decile,31834,586,641,-0.004709603898280026,0.0024765433938017294,-1.9016843839955238,-0.004872276957762101,-0.006884571689881976,0.002481904672970289,-2.7739065745996894,0.005715842833961103,-0.011759117799002166,-0.0020100255807617862,-0.0070999276934202,-0.00038569120593215226,-1.1023988012396364,-0.0010728364560257126,0.0003014540441614081,-0.002547309732786872,-7.261095284593809,0.435760507633348,0.41663001821951373,-0.0028789130826094482,-1.3243531991620616,-0.9093087903950529,-0.006384571689881979,-0.00688457168988198,-0.00788457168988198,0.997581202487906,0.08895733614260105,0.0001557822265957083,True,,,194,1.0,30,0.17147528501883308
R1,exec,long,24,D7,decile,34917,528,639,-0.0021277556428984275,0.0027658634353045003,-0.769291648943679,-0.001823154056517784,-0.0043129207969753195,0.0027643992540870863,-1.5601656636966559,0.11932216584242299,-0.009743539523041696,0.0011176979290910567,-0.0040772059376681016,4.583539925675343e-05,0.09749190576409304,-0.0008777543494996268,0.0009694251480131338,-0.0021370419051449548,-4.550590599965448,0.4643583354812842,0.44668785978176817,-0.002372695450232269,-1.016144458744836,-0.8863584006922111,-0.0038129207969753226,-0.004312920796975323,-0.005312920796975322,0.9997422458974139,0.0910669975946245,0.00018078774578892518,True,,,194,1.0,30,1.0
R1,exec,long,24,D8,decile,43814,508,637,0.0017103636169736247,0.0018257002927410707,0.9368260627299995,-0.0002789442818718624,-0.0005403431981557405,0.0018310203066229111,-0.29510497300400573,0.7680347353083271,-0.0041376816166237935,0.0030569952203123125,-0.0026126620332865124,0.0002370658098393254,0.7386092974796533,-0.0003935142519320843,0.0008676458716107352,-0.0019953349949037536,-6.187102629752337,0.46617519514310496,0.4446980417218241,-0.0012284796189532129,-0.5774371611922018,-0.8144455037285432,-4.034319815574427e-05,-0.0005403431981557444,-0.0015403431981557442,0.9965079654904825,0.09931201058703272,0.00022389096630859854,True,,,194,1.0,30,1.0
R1,exec,long,24,D9,decile,22545,536,669,-0.00012013671559257801,0.002150928358293099,-0.05585342493132327,0.0,-0.0024207392985657146,0.002155113265230387,-1.1232538621615935,0.26183442478661084,-0.006654279043484385,0.0018128004463529562,-0.0023000000000000086,0.0006779426100929561,1.1707498121610742,-0.0004595812934783789,0.0018154665136642912,-0.0016186161945356819,-2.7827553433561203,0.43573139359531626,0.4179898873414353,-0.002170182029938614,-0.9579645924321363,-0.9312154152574316,-0.0019207392985657174,-0.0024207392985657176,-0.003420739298565717,0.997471835358822,0.1047597504434506,0.0002978655569389419,True,,,194,1.0,30,1.0
