run,universe,direction,comparison,diff_net,t_stat_clustered,p_value_raw,ci_lo,ci_hi,n_obs,p_value_bonferroni
R14,full,long,in_bull_FVG - in_bear_FVG,0.00041477721027079764,0.1216073576876534,0.9032435903967451,-0.00628139714234013,0.007110951562881726,22709,1.0
R14,full,short,in_bull_FVG - in_bear_FVG,-0.00041477721027154824,-0.12160735768787823,0.9032435903965671,-0.007110951562882214,0.006281397142339117,22709,1.0
R15,full,long,in_bull_OB - in_bear_OB,-0.006525373258007283,-1.7997881379042526,0.07230916184462675,-0.013643352058432357,0.0005926055424177908,40601,1.0
R15,full,short,in_bull_OB - in_bear_OB,0.006525373258007315,1.7997881379042624,0.07230916184462526,-0.0005926055424177552,0.013643352058432385,40601,1.0
R15,full,long,Q5 - Q1,0.004197746677612331,3.023639960974841,0.0025854005187129965,0.0014721733591065841,0.0069233199961180785,128440,0.8842069773998448
R15,full,short,Q5 - Q1,-0.004197746677612311,-3.023639960974823,0.0025854005187131513,-0.006923319996118062,-0.0014721733591065607,128440,0.8842069773998977
R16,full,long,Q5 - Q1,0.00013216352596196224,0.14297162246676717,0.8863522087443095,-0.0016826561949215588,0.001946983246845483,124886,1.0
R16,full,short,Q5 - Q1,-0.00013216352596195807,-0.14297162246676298,0.8863522087443129,-0.0019469832468454748,0.0016826561949215588,124886,1.0
R16,full,long,Q5 - Q1,0.000914872688013658,1.285938755651115,0.19887385436659477,-0.0004818561381379269,0.002311601514165243,125163,1.0
R16,full,short,Q5 - Q1,-0.000914872688013684,-1.2859387556511515,0.1988738543665821,-0.002311601514165269,0.000481856138137901,125163,1.0
R16,full,long,above_VA - below_VA,0.0016272742631251997,0.31073054081473717,0.7560945436762533,-0.008654037623337904,0.011908586149588304,89324,1.0
R16,full,short,above_VA - below_VA,-0.0016272742631251408,-0.3107305408147259,0.7560945436762618,-0.011908586149588245,0.008654037623337963,89324,1.0
R17,full,long,Q5 - Q1,0.0020369878868491714,1.6507820117585026,0.09921498546564549,-0.0003855492177509091,0.004459524991449252,121245,1.0
