symbol,n_days,step_size_mode,step_changed,price_median,price_min,price_max,adv_usd_30_median,quant_err_median,exec_rate,exec_rate_tol5,exec_rate_tol20,fail_min_qty_rate,delisted_in_window,step_x_price_median,step_notional_pct_of_6,verdict
AVAXUSDT,730,1.0,False,20.372500000000002,5.89,54.024,252358192.99468333,1.0,0.0013698630136986301,0.0013698630136986301,0.0013698630136986301,0.9986301369863013,False,20.372500000000002,339.54166666666674,sometimes
ASMLUSDT,21,0.01,False,1765.57,1569.86,1827.63,2779360.8000633335,1.0,0.0,0.0,0.0,1.0,False,17.6557,294.26166666666666,never
AAVEUSDT,730,0.1,False,171.755,60.9,383.43,181964664.01494998,1.0,0.0,0.0,0.0,1.0,False,17.1755,286.2583333333333,never
SNDKUSDT,86,0.01,False,1629.21,1010.5,2318.11,381143172.573945,1.0,0.0,0.0,0.0,1.0,False,16.2921,271.535,never
ANTHROPICUSDT,30,0.01,False,1616.0549999999998,1389.3,1655.75,3081239.677275,1.0,0.0,0.0,0.0,1.0,False,16.160549999999997,269.3425,never
SKHYNIXUSDT,30,0.01,False,1293.4650000000001,951.62,1622.65,1028486038.7204983,1.0,0.0,0.0,0.0,1.0,False,12.934650000000001,215.57750000000001,never
OPENAIUSDT,37,0.01,False,1282.15,1061.85,1363.02,3163620.378973333,1.0,0.0,0.0,0.0,1.0,False,12.8215,213.69166666666666,never
LLYUSDT,31,0.01,False,1192.92,1147.61,1237.55,1228850.2475233334,1.0,0.0,0.0,0.0,1.0,False,11.929200000000002,198.82000000000002,never
MUUSDT,86,0.01,False,954.145,644.6,1230.11,528310519.1880433,1.0,0.0,0.0,0.0,1.0,False,9.54145,159.02416666666664,never
COSTUSDT,23,0.01,False,934.54,915.66,974.67,296565.84898333333,1.0,0.0,0.0,0.0,1.0,False,9.3454,155.75666666666666,never
STXXUSDT,21,0.01,False,838.5,728.99,913.02,2296614.5431566667,1.0,0.0,0.0,0.0,1.0,False,8.385,139.75,never
LITEUSDT,48,0.01,False,796.625,599.65,961.81,29191793.044441666,1.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.9791666666666666,False,7.9662500000000005,132.77083333333334,sometimes
QNTUSDT,730,0.1,False,77.785,56.07,165.94,8298663.877783334,1.0,0.01780821917808219,0.012328767123287671,0.01780821917808219,0.9821917808219178,False,7.7785,129.64166666666668,sometimes
SPYUSDT,87,0.01,False,744.25,722.4,759.22,23930747.35791333,1.0,0.0,0.0,0.0,1.0,False,7.4425,124.04166666666667,never
QQQUSDT,87,0.01,False,715.66,667.14,746.49,82090102.18688332,1.0,0.0,0.0,0.0,1.0,False,7.1566,119.27666666666667,never
BNBUSDT,730,0.01,False,648.2,464.2,1306.84,489054627.1518766,1.0,0.2136986301369863,0.14520547945205478,0.25616438356164384,0.7410958904109589,False,6.482,108.03333333333333,sometimes
UNIUSDT,730,1.0,False,6.3215,2.394,18.613,122980844.05344999,1.0,0.11506849315068493,0.07945205479452055,0.18904109589041096,0.5876712328767123,False,6.3215,105.35833333333333,sometimes
METAUSDT,98,0.01,False,608.855,542.9,680.12,10579259.875611667,1.0,0.3673469387755102,0.23469387755102042,0.3673469387755102,0.6326530612244898,False,6.088550000000001,101.47583333333334,sometimes
WDCUSDT,37,0.01,False,560.67,456.55,723.53,21551282.966706667,0.09095000000000002,0.5405405405405406,0.24324324324324326,0.7567567567567568,0.10810810810810811,False,5.6067,93.445,mostly
AMATUSDT,24,0.01,False,555.1500000000001,450.94,606.46,6432064.771348333,0.09964166666666671,0.5,0.25,0.8333333333333334,0.125,False,5.551500000000001,92.525,mostly
AMDUSDT,57,0.01,False,522.37,428.29,579.93,32656318.945159998,0.12938333333333332,0.2807017543859649,0.017543859649122806,0.8771929824561403,0.0,False,5.2237,87.06166666666667,sometimes
ICPUSDT,730,1.0,False,4.9855,2.06,15.236,40285465.653699994,0.26766666666666666,0.1136986301369863,0.043835616438356165,0.3547945205479452,0.3232876712328767,False,4.9855,83.09166666666667,sometimes
YFIUSDT,730,0.001,False,4970.5,1621.0,13996.0,6458697.136483334,0.1674166666666666,0.23424657534246576,0.06164383561643835,0.6164383561643836,0.14383561643835618,False,4.9705,82.84166666666667,sometimes
BRKBUSDT,45,0.01,False,495.14,488.81,512.9,578248.82912,0.17476666666666674,0.0,0.0,1.0,0.0,False,4.9514,82.52333333333333,never
XAUUSDT,203,0.001,False,4616.5,3990.93,5520.0,1000673423.545771,0.23058333333333328,0.009852216748768473,0.0,0.29064039408866993,0.0,False,4.6165,76.94166666666668,sometimes
BTCDOMUSDT,730,0.001,False,4481.15,2509.8,5711.6,10431177.826308334,0.19943333333333327,0.2821917808219178,0.06986301369863014,0.5,0.0,False,4.4811499999999995,74.68583333333333,sometimes
XAUTUSDT,98,0.001,False,4269.5599999999995,3987.14,4752.22,27643980.3156885,0.2884066666666667,0.0,0.0,0.0,0.0,False,4.269559999999999,71.15933333333332,never
TSMUSDT,87,0.01,False,423.48,375.12,477.04,8431564.14829,0.2942,0.0,0.0,0.0,0.0,False,4.2348,70.58,never
DELLUSDT,29,0.01,False,415.01,371.6,458.74,7588734.937743334,0.30831666666666663,0.0,0.0,0.0,0.0,False,4.1501,69.16833333333334,never
PAXGUSDT,462,0.001,False,4110.32,3197.25,5537.49,78916059.06286517,0.3149466666666667,0.006493506493506494,0.0,0.1277056277056277,0.0,False,4.11032,68.50533333333333,sometimes
TSLAUSDT,155,0.01,False,394.53,297.06,448.52,47586784.32459,0.3421,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0,False,3.9453,65.755,sometimes
