step_lbl,price_lbl,n_obs,n_symbols,exec_rate,median_quant_err,median_step_notional,step_notional_pct_of_6
1,"[0.01, 0.1)",104207,385,1.0,0.00260666666666672,0.03637,0.6061666666666666
1,"[0.1, 1)",73410,315,0.9750034055305816,0.01817499999999998,0.2403,4.005
1,"[0.001, 0.01)",36713,168,1.0,0.00030733333333336316,0.004542,0.0757
0.1,"[0.1, 1)",35257,99,1.0,0.00243999999999985,0.03489,0.5815
0.1,"[1, 10)",28472,97,0.9815257094689519,0.017900000000000027,0.211395,3.52325
1,"[1, 10)",12474,76,0.3200256533589867,0.1562333333333333,1.82885,30.480833333333337
1,"[0.0001, 0.001)",9631,37,1.0,2.6666666666693335e-05,0.000507,0.00845
0.1,"[0.01, 0.1)",9048,44,1.0,0.0003634999999998131,0.006168,0.1028
0.01,"[1, 10)",6862,20,1.0,0.0028999999999999027,0.044645000000000004,0.7440833333333334
0.1,"[10, 100)",6466,25,0.2814723167336839,0.17662499999999998,2.00345,33.39083333333333
0.01,"[10, 100)",5860,64,0.9660409556313994,0.017614166666666563,0.21641,3.6068333333333333
0.01,"[100, 1000)",4298,70,0.2652396463471382,0.20934999999999998,2.87845,47.97416666666667
0.001,"[100, 1000)",3383,9,0.9878805793674253,0.02972333333333325,0.37291,6.215166666666667
0.001,"[1000, 10000)",3296,9,0.2020631067961165,0.17719999999999997,3.64777,60.796166666666664
0.001,"[10, 100)",2582,5,1.0,0.00320666666666658,0.042795,0.7132499999999999
1,"[1e-05, 0.0001)",1369,6,1.0,2.300000000084642e-06,3.77e-05,0.0006283333333333334
0.01,"[0.1, 1)",924,3,1.0,0.00016933333333346567,0.0023935,0.03989166666666666
0.1,"[100, 1000)",789,2,0.0,1.0,16.502000000000002,275.03333333333336
1,"[10, 100)",766,7,0.0,1.0,19.825499999999998,330.42499999999995
0.01,"[1000, 10000)",298,8,0.0,1.0,13.351,222.5166666666667
1,"[100, 1000)",243,1,0.0,1.0,167.42,2790.333333333333
1,"[1e-06, 1e-05)",193,2,1.0,4.999999999218593e-07,3.4e-06,5.666666666666667e-05
0.1,"[0.001, 0.01)",169,4,1.0,3.475000000004632e-05,0.000835,0.013916666666666667
0.01,"[0.01, 0.1)",136,2,1.0,7.180833333331194e-05,0.00080035,0.013339166666666668
0.001,"[10000, 100000)",14,1,0.0,1.0,11.225,187.08333333333334
0.1,"[0.0001, 0.001)",10,1,1.0,6.5999999998567205e-06,7.420000000000001e-05,0.001236666666666667
