tanggal_entry,symbol,harga_ref,step_size,funding_24h,z30,hasil_net,outcome
2025-10-22,0GUSDT,1.8786,1.0,-0.032293340000000004,-1.6456405276291464,0.002623050000000165,stop
2025-11-05,0GUSDT,1.1515,1.0,-0.12108893,-4.455231950529328,0.01262073999999989,stop
2025-11-09,0GUSDT,1.4328,1.0,-0.10612984,-3.0126935005821136,0.09576978999999995,stop
2025-12-23,0GUSDT,0.8182,1.0,-0.01302504,-1.6286500878892303,-0.01534680999999984,stop
2025-12-24,0GUSDT,0.8,1.0,-0.00925433,-1.2358876382470738,0.09052689999999965,target
2025-12-27,0GUSDT,0.9779,1.0,-0.07167869,-4.916673306842333,0.014410199999999911,stop
2026-01-25,0GUSDT,1.1413,1.0,-0.030566120000000002,-1.311402332433696,0.06898455000000005,target
2026-01-31,0GUSDT,0.8404,1.0,-0.014279759999999999,-1.0504048710314158,0.0017770800000000801,stop
2026-02-01,0GUSDT,0.7368,1.0,-0.02040447,-1.6370928412942463,-0.014437159999999966,stop
2026-02-13,0GUSDT,0.6419,1.0,-0.04881108,-3.4776450166297534,-0.014364700000000025,stop
2026-03-19,0GUSDT,0.5484,1.0,-0.00373227,-0.7665640063067158,-0.02483440999999977,stop
2026-03-22,0GUSDT,0.5148,1.0,-0.0039746899999999995,-0.8461573372337885,0.07025915999999967,target
2026-03-23,0GUSDT,0.529,1.0,-0.005027149999999999,-1.294279447014546,-0.017497209999999725,stop
2026-03-24,0GUSDT,0.5154,1.0,-0.00563201,-2.103620242580161,0.02901772936748177,timeout
2026-03-25,0GUSDT,0.5231,1.0,-0.00727078,-2.592490205565269,-0.02205520000000007,stop
2026-03-26,0GUSDT,0.5245,1.0,-0.00449076,-1.1570541179153653,-0.023905159999999998,stop
2026-03-27,0GUSDT,0.4862,1.0,-0.00385404,-0.8021365534484624,-0.023198599999999975,stop
2026-03-29,0GUSDT,0.4796,1.0,-0.0045606,-1.044043699267596,-0.024582609999999967,stop
2026-04-03,0GUSDT,0.5291,1.0,-0.00669556,-1.861318099238312,-0.026889129999999834,stop
2026-04-13,0GUSDT,0.6133,1.0,-0.00583188,-1.505897452484643,-0.014978880000000156,stop
2026-04-14,0GUSDT,0.5976,1.0,-0.01029188,-2.947998475588987,-0.023067230000000122,stop
2026-04-15,0GUSDT,0.6125,1.0,-0.00512924,-0.798873914231603,-0.0271686899999999,stop
2026-04-28,0GUSDT,0.5486,1.0,-0.01125996,-3.0967396266154177,0.008429307614879322,timeout
2026-05-28,0GUSDT,0.4274,1.0,-0.00256106,-2.831517771151482,-0.02815462000000026,stop
2026-05-29,0GUSDT,0.4276,1.0,-0.0014372,-1.9669771496940143,-0.00492791532273189,timeout
2026-05-30,0GUSDT,0.4282,1.0,-0.0008081799999999999,-1.0414339413606293,-0.030143790000000132,stop
2026-06-19,0GUSDT,0.2709,1.0,-0.00075146,-1.0576487920808024,-0.02991665000000034,stop
2026-06-24,0GUSDT,0.2404,1.0,-0.00239737,-2.93828116286627,-0.020957270000000045,stop
2026-06-25,0GUSDT,0.2286,1.0,-0.00314496,-3.1045621757518846,0.06803262999999994,target
2026-06-26,0GUSDT,0.2111,1.0,-0.00629777,-4.077915767411759,-0.025198890000000213,stop
2026-06-27,0GUSDT,0.2167,1.0,-0.0021348599999999997,-1.1435754959340187,0.06348102999999984,target
2026-06-28,0GUSDT,0.2428,1.0,-0.00306625,-1.6946935698197736,-0.028406780000000093,stop
2026-07-09,0GUSDT,0.1881,1.0,-0.0022007100000000003,-0.9511698796203968,0.06011458000000015,target
2026-07-16,0GUSDT,0.193,1.0,-0.00433682,-2.169827673545892,-0.02951809000000007,stop
2025-07-06,1000000BOBUSDT,0.067,1.0,-0.01648821,-3.019103517031828,0.00938870000000001,stop
2025-07-07,1000000BOBUSDT,0.06697,1.0,-0.033199110000000004,-4.046860801225118,0.0027078499999999943,stop
2025-07-09,1000000BOBUSDT,0.08725,1.0,-0.02651826,-2.63434861717718,-0.01193396000000001,stop
2025-07-10,1000000BOBUSDT,0.08448,1.0,-0.01539063,-1.3024000111371177,-0.027385949999999982,stop
2025-10-11,1000000BOBUSDT,0.03261,1.0,-0.0012399800000000001,-1.3357257257031272,-0.03091540999999994,stop
2026-03-16,1000000BOBUSDT,0.01255,1.0,-4.281999999999996e-05,-1.0063653841808138,-0.0314021,stop
2026-06-15,1000000BOBUSDT,0.01277,1.0,-0.00081016,-1.376716689978513,-0.011891830595611429,timeout
2026-06-20,1000000BOBUSDT,0.01212,1.0,-5.4049999999999986e-05,-0.913467116600491,-0.03133838000000001,stop
2024-12-24,1000000MOGUSDT,2.325,0.1,-0.00046318,-1.5454380374130439,-0.030732069999999948,stop
2024-12-28,1000000MOGUSDT,2.234,0.1,-3.622999999999999e-05,-0.9637236859087661,0.05922848000000007,target
2025-01-19,1000000MOGUSDT,1.741,0.1,-0.00020117999999999997,-1.914163090295299,0.05849565000000005,target
2025-02-13,1000000MOGUSDT,0.8907,0.1,-3.7699999999999927e-06,-1.6809288427675522,-0.030805969999999964,stop
2025-02-16,1000000MOGUSDT,0.7954,0.1,-0.000345,-2.8537466776895433,0.05966439000000001,target
2025-02-17,1000000MOGUSDT,0.8079,0.1,-0.00019172999999999998,-1.9274018119931329,0.05963482000000003,target
2025-02-19,1000000MOGUSDT,0.7285,0.1,-0.00016216,-1.8862232228140787,-0.03021970999999996,stop
2025-02-20,1000000MOGUSDT,0.7285,0.1,-0.00043028999999999995,-2.6398735316638895,0.059000000000000066,target
2025-02-25,1000000MOGUSDT,0.685,0.1,-0.00058164,-2.8293032369892672,-0.03082531999999995,stop
2025-03-01,1000000MOGUSDT,0.6522,0.1,-0.00025375,-1.4826374552699704,-0.030601479999999962,stop
2025-03-05,1000000MOGUSDT,0.5109,0.1,-0.0007980800000000001,-2.94091218901601,-0.030010709999999986,stop
2025-03-06,1000000MOGUSDT,0.5371,0.1,-0.00063707,-2.119970116881338,-0.030936859999999945,stop
2025-03-17,1000000MOGUSDT,0.445,0.1,-0.00053882,-1.6535473675349184,0.05983244000000003,target
2025-03-19,1000000MOGUSDT,0.4644,0.1,-0.00052976,-1.6110885334208105,-0.02167628688348049,timeout
2025-04-02,1000000MOGUSDT,0.4309,0.1,-0.00019714,-0.9219973106679037,-0.030370179999999972,stop
2025-04-04,1000000MOGUSDT,0.3853,0.1,-0.00027602999999999997,-1.3858692651125204,-0.030133749999999963,stop
2025-04-06,1000000MOGUSDT,0.3469,0.1,-0.00049177,-2.262616859584726,-0.02906561999999999,stop
2025-04-07,1000000MOGUSDT,0.2758,0.1,-0.00062821,-2.38544874032727,-0.02999382999999996,stop
2025-04-08,1000000MOGUSDT,0.3425,0.1,-0.00070617,-2.2977284239198483,-0.030908809999999943,stop
2025-04-13,1000000MOGUSDT,0.4995,0.1,-0.00139145,-3.3014012330202958,-0.030830059999999954,stop
2025-04-19,1000000MOGUSDT,0.438,0.1,-0.0009743400000000001,-2.2433625051367883,0.06101781000000002,target
2025-04-20,1000000MOGUSDT,0.4635,0.1,-0.00106952,-2.169485445413127,-0.02914897999999998,stop
2025-04-22,1000000MOGUSDT,0.4554,0.1,-0.0009027299999999999,-1.6265648218495097,0.05959735000000005,target
2025-05-10,1000000MOGUSDT,1.0456,0.1,-0.00053825,-1.0430990164385718,-0.030999999999999934,stop
2025-06-06,1000000MOGUSDT,0.7971,0.1,-4.218e-05,-1.3715987585933946,0.05917334000000006,target
2025-06-13,1000000MOGUSDT,0.9828,0.1,-8.828999999999998e-05,-3.484445132964383,-0.030612999999999963,stop
2025-06-26,1000000MOGUSDT,0.9372,0.1,-0.00039231,-3.8854216694688835,0.06087017000000003,target
2025-06-27,1000000MOGUSDT,0.8846,0.1,-0.00152017,-4.738352851477546,-0.03094999999999994,stop
2025-11-22,1000000MOGUSDT,0.2747,0.1,-7.621e-05,-3.3071527324126233,-0.030839209999999968,stop
2025-12-12,1000000MOGUSDT,0.279,0.1,-0.00028399,-3.7579531221994724,-0.031023529999999928,stop
