run,universe,direction,comparison,diff_gross,t_gross,diff_net,t_stat_clustered,p_value_raw,ci_lo,ci_hi,diff_neutral_net,t_neutral_net,n_days,n_obs,p_value_bonferroni
R9,full,long,swing_BULL - swing_BEAR,-0.0027807973046205113,-1.2938123343484507,-0.0027087386799218385,-1.167916668558931,0.24322325286562393,-0.007262046085157552,0.0018445687253138758,0.0002649260416207915,0.4930249700541323,728,317889,1.0
R9,full,short,swing_BULL - swing_BEAR,0.0027807973046205113,1.2938123343484507,0.002708738679921848,1.1679166685589353,0.24322325286562224,-0.0018445687253138654,0.007262046085157561,-0.00026492604162079217,-0.49302497005413354,728,317889,1.0
R10,full,long,int_BULL - int_BEAR,-0.001977722379909856,-0.904034268051405,-0.0019076851410970007,-0.8058325076396654,0.42060292678043165,-0.006555337470933452,0.0027399671887394506,-0.0003386060098366417,-0.6698654323787805,728,317911,1.0
R10,full,short,int_BULL - int_BEAR,0.001977722379909856,0.904034268051405,0.0019076851410970153,0.8058325076396717,0.42060292678042804,-0.002739967188739435,0.0065553374709334655,0.00033860600983663837,0.6698654323787738,728,317911,1.0
R11,full,long,swing_bull_CHoCH - swing_bear_CHoCH,-0.0016657320893244028,-0.7672485054187093,-0.0014118208225092435,-0.6029611481809952,0.5467225802976516,-0.006008688182481465,0.003185046537462978,0.00010446892874021897,0.1852380507137207,728,181330,1.0
R11,full,short,swing_bull_CHoCH - swing_bear_CHoCH,0.0016657320893244028,0.7672485054187093,0.0014118208225092465,0.6029611481809968,0.5467225802976506,-0.003185046537462973,0.0060086881824814664,-0.00010446892874021839,-0.18523805071371968,728,181330,1.0
R11,full,long,swing_bull_BOS - swing_bear_BOS,-0.003254076820953572,-0.9620326695208608,-0.0034342582483850217,-0.9519824103834647,0.34142229104977273,-0.010516581499455877,0.003648065002685834,0.00046816087746303405,0.5229450884753488,728,136559,1.0
R11,full,short,swing_bull_BOS - swing_bear_BOS,0.003254076820953572,0.9620326695208608,0.003434258248385026,0.9519824103834655,0.3414222910497723,-0.0036480650026858314,0.010516581499455883,-0.0004681608774630259,-0.5229450884753398,728,136559,1.0
R11,full,long,int_bull_CHoCH - int_bear_CHoCH,0.0009468382309445361,0.43754509056450835,0.0012046074524522802,0.5130610734118052,0.6080644632973764,-0.0034048328975009486,0.005814047802405509,6.465809813339773e-05,0.11201387223349811,728,171160,1.0
R11,full,short,int_bull_CHoCH - int_bear_CHoCH,-0.0009468382309445361,-0.43754509056450835,-0.0012046074524522585,-0.513061073411796,0.6080644632973828,-0.005814047802405488,0.0034048328975009702,-6.465809813340113e-05,-0.11201387223350398,728,171160,1.0
R11,full,long,int_bull_BOS - int_bear_BOS,-0.00515229686086528,-1.5898822473828254,-0.005280646460711293,-1.5167905737681429,0.1297542552274179,-0.012115562600253678,0.0015542696788310925,-0.0007818979349924319,-1.0166924526715082,728,146751,1.0
