run,universe,direction,horizon_h,comparison,diff_gross,t_gross,p_gross,diff_net,se,t_stat_clustered,p_value_raw,ci_lo,ci_hi,diff_neutral_gross,t_neutral_gross,ci_lo_neutral,ci_hi_neutral,diff_neutral_net,t_neutral_net,n_days,n_obs,p_value_bonferroni
R1,full,long,48,Q5 - Q1,0.007889304984039638,5.862724476611789,6.8995878151289405e-09,0.00290951497541971,0.001336161398213836,2.1775176107535463,0.02976281999043655,0.0002863195892825769,0.005532710361556843,0.005964297054795425,5.657567077502249,0.003894635721648969,0.00803395838794188,0.0009300994318388419,0.8958160595409084,728,111411,1.0
R1,full,short,48,Q5 - Q1,-0.007889304984039638,-5.862724476611789,6.8995878151289405e-09,-0.0029095149754196897,0.0013361613982138375,-2.1775176107535286,0.029762819990437877,-0.005532710361556826,-0.0002863195892825539,-0.005964297054795425,-5.657567077502249,-0.00803395838794188,-0.003894635721648969,-0.0009300994318388576,-0.8958160595409235,728,111411,1.0
R1,full,long,48,D10 - D1,0.0101748219054502,5.7690321653819305,1.1784241712471237e-08,0.0017674469753610439,0.0017495589993327886,1.0102242771093042,0.31272395405539416,-0.0016673439869879436,0.005202237937710031,0.010300172241825325,6.391551589922602,0.007136380263640236,0.013463964220010415,0.0018834363866553241,1.1800159850287124,728,57196,1.0
R1,full,short,48,D10 - D1,-0.0101748219054502,-5.7690321653819305,1.1784241712471237e-08,-0.001767446975361027,0.0017495589993327914,-1.0102242771092929,0.31272395405539954,-0.00520223793771002,0.0016673439869879661,-0.010300172241825325,-6.391551589922602,-0.013463964220010415,-0.007136380263640236,-0.0018834363866552816,-1.1800159850286862,728,57196,1.0
R2,full,long,48,Q5 - Q1,-0.0024032760850673683,-3.2691397408427485,0.0011293927089881962,-0.004366607027081191,0.0007504321184805497,-5.818790160424575,8.885999402892334e-09,-0.005839879697163412,-0.0028933343569989703,-0.002394118088231925,-3.2539466831683073,-0.0038385759181247528,-0.0009496602583390975,-0.0043353426374583256,-5.779107520250531,728,127395,1.7238838841611128e-06
R2,full,short,48,Q5 - Q1,0.0024032760850673683,3.2691397408427485,0.0011293927089881962,0.004366607027081154,0.0007504321184805473,5.818790160424544,8.88599940289385e-09,0.0028933343569989374,0.0058398796971633705,0.002394118088231925,3.2539466831683073,0.0009496602583390975,0.0038385759181247528,0.004335342637458353,5.77910752025057,728,127395,1.7238838841614071e-06
R3,full,long,48,Q5 - Q1,-0.001454772855237808,-1.6504425535183034,0.0992831829219304,8.332112835092448e-05,0.0009106071137770799,0.09150063412674131,0.927120008013885,-0.0017044122866668064,0.0018710545433686552,-0.0014586678293334401,-1.656501272784745,-0.0031874264667588912,0.00027009080809201123,3.162524617888456e-05,0.03528890991829593,728,126934,1.0
R3,full,short,48,Q5 - Q1,0.001454772855237808,1.6504425535183034,0.0992831829219304,-8.332112835094634e-05,0.0009106071137770818,-0.09150063412676511,0.9271200080138661,-0.001871054543368681,0.0017044122866667884,0.0014586678293334401,1.656501272784745,-0.00027009080809201123,0.0031874264667588912,-3.16252461789159e-05,-0.0352889099183309,728,126934,1.0
R4,full,long,48,Q5 - Q1,-0.0021537874108552364,-1.8197678691771204,0.06920435851748859,-0.0019032016055334571,0.001255369080142723,-1.5160494516218943,0.12994151577485177,-0.00436778289289272,0.0005613796818258051,-0.002147402879273724,-1.8146243827788109,-0.004470655956729004,0.00017585019818155577,-0.0014912653947112768,-1.3733254154027654,728,130621,1.0
R4,full,short,48,Q5 - Q1,0.0021537874108552364,1.8197678691771204,0.06920435851748859,0.0019032016055335074,0.0012553690801427211,1.5160494516219367,0.12994151577484103,-0.0005613796818257509,0.0043677828928927655,0.002147402879273724,1.8146243827788109,-0.00017585019818155577,0.004470655956729004,0.0014912653947112922,1.3733254154027799,728,130621,1.0
R4,full,long,48,Q5|L1 - Q1|L1,-0.0006465253203015576,-0.41623503776807963,0.6773605342848116,-0.0008916018999050972,0.0019452106823859118,-0.4583574971999931,0.6468326024123903,-0.004710502591034605,0.0029272987912244107,-0.0007890960604431614,-0.3679241683702807,-0.004999669924838079,0.0034214778039517568,0.0007015251734305885,0.3567931345483573,728,28169,1.0
R4,full,short,48,Q5|L1 - Q1|L1,0.0006465253203015576,0.41623503776807963,0.6773605342848116,0.0008916018999050512,0.0019452106823859107,0.45835749719996965,0.646832602412407,-0.0029272987912244545,0.0047105025910345565,0.0007890960604431614,0.3679241683702807,-0.0034214778039517568,0.004999669924838079,-0.0007015251734306474,-0.35679313454838724,728,28169,1.0
R4,full,long,48,Q5|L2 - Q1|L2,-0.0045252722881635584,-2.7361324547191557,0.006367873355167031,-0.0041890768332305045,0.0016732293552260348,-2.5035879391827947,0.01251224260573532,-0.007474014963044449,-0.0009041387034165595,-0.004002229733326853,-3.1641880367499278,-0.006485416939514558,-0.0015190425271391474,-0.0036651625486846346,-2.877644562998875,728,46012,1.0
R4,full,short,48,Q5|L2 - Q1|L2,0.0045252722881635584,2.7361324547191557,0.006367873355167031,0.004189076833230466,0.0016732293552260348,2.5035879391827716,0.012512242605736128,0.0009041387034165213,0.007474014963044411,0.004002229733326853,3.1641880367499278,0.0015190425271391474,0.006485416939514558,0.0036651625486845995,2.877644562998848,728,46012,1.0
